Time (ms)	X (cm)	Y (cm)
0.	114.70	224.44
33.367	114.70	224.44
66.733	114.70	224.44
100.1	114.69	224.44
133.467	114.69	224.44
166.833	114.69	224.44
200.2	114.68	224.44
233.567	114.68	224.44
266.933	114.68	224.44
300.3	114.68	224.44
333.667	114.68	224.44
367.033	114.68	224.44
400.4	114.69	224.44
433.767	114.69	224.44
467.133	114.69	224.44
500.5	114.69	224.44
533.867	114.48	221.77
567.233	114.17	212.47
600.6	114.30	194.88
633.967	113.57	180.75
667.333	83.18	120.54
700.7	52.20	70.61
734.067	22.56	15.41
767.433	-2.19	2.27
