Time (ms)	X (cm)	Y (cm)
0.	143.01	92.20
33.367	143.15	93.99
66.733	145.07	95.54
100.1	147.30	95.36
133.467	146.92	93.70
166.833	146.68	92.02
200.2	147.30	90.53
233.567	145.32	89.37
266.933	144.03	89.60
300.3	143.21	88.54
333.667	142.95	90.85
367.033	141.68	91.55
400.4	139.70	94.76
433.767	138.80	96.71
467.133	136.33	98.98
500.5	134.65	101.66
533.867	131.40	104.21
567.233	127.69	105.27
600.6	125.47	104.66
633.967	123.85	102.44
667.333	124.66	99.01
700.7	124.19	95.50
734.067	123.66	94.02
767.433	125.07	94.63

