Time (ms)	X (cm)	Y (cm)
0.	172.94	112.42
33.367	173.14	114.03
66.733	173.14	115.65
100.1	173.14	116.86
133.467	173.14	118.48
166.833	173.14	119.29
200.2	173.14	119.90
233.567	173.05	121.60
266.933	173.95	123.36
300.3	177.18	126.81
333.667	179.12	130.94
367.033	178.66	135.62
400.4	177.56	139.15
433.767	172.06	146.63
467.133	165.95	154.74
500.5	146.70	161.62
533.867	131.82	165.47
567.233	113.34	164.70
600.6	97.17	155.97
633.967	91.04	150.01
667.333	85.91	133.33
700.7	85.65	117.16
734.067	89.50	104.53
767.433	89.50	104.53


