Time (ms)	X (cm)	Y (cm)
0.	153.09	133.82
33.367	154.09	133.82
66.733	154.90	133.81
100.1	155.10	133.41
133.467	155.51	132.60
166.833	155.51	131.59
200.2	155.51	131.19
233.567	155.30	131.19
266.933	155.30	130.78
300.3	154.90	131.19
333.667	154.09	132.40
367.033	152.88	132.80
400.4	153.69	134.83
433.767	147.82	136.45
467.133	144.40	136.05
500.5	141.02	137.41
533.867	135.27	141.84
567.233	125.37	141.23
600.6	120.02	139.02
633.967	116.49	136.67
667.333	113.51	134.07
700.7	110.63	129.75
734.067	110.85	125.80
767.433	110.66	119.93

