Time (ms)	X (cm)	Y (cm)
0.	146.93	109.38
33.367	147.34	109.58
66.733	147.54	109.58
100.1	147.34	109.58
133.467	148.37	108.46
166.833	149.08	105.97
200.2	149.14	105.67
233.567	148.88	104.90
266.933	148.68	105.10
300.3	149.91	106.48
333.667	149.70	107.49
367.033	149.50	108.30
400.4	149.50	108.91
433.767	145.45	111.00
467.133	141.14	114.03
500.5	136.44	117.95
533.867	130.77	121.18
567.233	124.71	121.19
600.6	120.46	117.97
633.967	118.92	113.87
667.333	120.90	109.17
700.7	121.42	108.42
734.067	120.30	106.29
767.433	119.69	104.06
