Time (ms)	X (cm)	Y (cm)
0.	156.56	105.93
33.367	160.20	107.14
66.733	163.84	109.16
100.1	166.67	111.18
133.467	168.69	113.20
166.833	173.38	118.29
200.2	174.60	120.94
233.567	175.01	125.22
266.933	175.83	130.52
300.3	178.48	140.31
333.667	177.66	149.69
367.033	171.14	158.66
400.4	165.84	165.38
433.767	162.37	169.26
467.133	158.09	170.07
500.5	154.01	170.48
533.867	147.49	171.70
567.233	131.18	176.80
600.6	114.47	179.86
633.967	80.63	168.65
667.333	63.29	153.16
700.7	61.66	110.55
734.067	70.23	90.16
767.433	70.23	90.16
